Classifier,Mean Acc,Std Acc,mean P Micro,std P micro,mean R Micro,std R micro,mean f1  Micro,std f1 micro,mean P Macro,std P macro,mean R Macro,std R macro,mean f1 Macro,std f1 macro,mean P weighted,std P wghtd,mean R wgtd,std R wgtd,mean f1 wgtd,std f1 wgtd
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=4,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=40, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8328700727,0.158794361,0.8249166667,0.1500417534,0.8253726962,0.154945835,0.9246569237,0.0938136236,0.9031612903,0.0790685631,0.9075790232,0.0802597018
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=4,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=50, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8207199954,0.1786621155,0.8110277778,0.1698157044,0.8125481838,0.1745324312,0.9254978678,0.0925676181,0.9031612903,0.0790685631,0.9081596298,0.0795375077
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=4,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9352580645,0.0789637359,0.9352580645,0.0789637359,0.9352580645,0.0789637359,0.9352580645,0.0789637359,0.8019596601,0.2111677108,0.8074090909,0.2013403671,0.8044293474,0.2066867369,0.9252588366,0.0929203875,0.9352580645,0.0789637359,0.9298034575,0.0862430213
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=4,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=200, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9352580645,0.0789637359,0.9352580645,0.0789637359,0.9352580645,0.0789637359,0.9352580645,0.0789637359,0.8014015653,0.212160064,0.8074090909,0.2013403671,0.8041427538,0.2071931258,0.9241590484,0.0945576735,0.9352580645,0.0789637359,0.9292380687,0.0870255088
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=10, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982,0.8928571429,0.131707778,0.8928571429,0.131707778,0.8928571429,0.131707778,0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=20, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982,0.8892935292,0.1366398745,0.8928571429,0.131707778,0.8909568261,0.1343133208,0.9338744971,0.0810268376,0.935483871,0.0790157982,0.9346256634,0.0800783811
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=30, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9032258065,0.0790157982,0.9032258065,0.0790157982,0.9032258065,0.0790157982,0.9032258065,0.0790157982,0.8525974026,0.1298167278,0.8428571429,0.1289676435,0.8444718117,0.1297830677,0.9323558162,0.0829943686,0.9032258065,0.0790157982,0.9121987393,0.0748272958
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=40, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8328700727,0.158794361,0.8249166667,0.1500417534,0.8253726962,0.154945835,0.9246569237,0.0938136236,0.9031612903,0.0790685631,0.9075790232,0.0802597018
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=50, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8207199954,0.1786621155,0.8110277778,0.1698157044,0.8125481838,0.1745324312,0.9254978678,0.0925676181,0.9031612903,0.0790685631,0.9081596298,0.0795375077
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9352580645,0.0789637359,0.9352580645,0.0789637359,0.9352580645,0.0789637359,0.9352580645,0.0789637359,0.8019596601,0.2111677108,0.8074090909,0.2013403671,0.8044293474,0.2066867369,0.9252588366,0.0929203875,0.9352580645,0.0789637359,0.9298034575,0.0862430213
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=200, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9352580645,0.0789637359,0.9352580645,0.0789637359,0.9352580645,0.0789637359,0.9352580645,0.0789637359,0.8014015653,0.212160064,0.8074090909,0.2013403671,0.8041427538,0.2071931258,0.9241590484,0.0945576735,0.9352580645,0.0789637359,0.9292380687,0.0870255088
"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                     weights='uniform')",0.1966774194,0.0599070213,0.1966774194,0.0599070213,0.1966774194,0.0599070213,0.1966774194,0.0599070213,0.1650085083,0.0517283033,0.1276486111,0.0366635672,0.1253732238,0.0444440204,0.3219012639,0.0634894405,0.1966774194,0.0599070213,0.2166100554,0.0674203586
"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=7, p=2,
                     weights='uniform')",0.1929677419,0.0623734181,0.1929677419,0.0623734181,0.1929677419,0.0623734181,0.1929677419,0.0623734181,0.1645867951,0.0513615666,0.1243157407,0.0390261823,0.1225842734,0.0452459981,0.3232602634,0.0587828503,0.1929677419,0.0623734181,0.2129386412,0.0678312401
"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=9, p=2,
                     weights='uniform')",0.1920645161,0.0566928853,0.1920645161,0.0566928853,0.1920645161,0.0566928853,0.1920645161,0.0566928853,0.1645844763,0.0512902656,0.1235930556,0.036068318,0.1220340675,0.0430317308,0.3215804884,0.0591242202,0.1920645161,0.0566928853,0.2118750125,0.0649115265
"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=11, p=2,
                     weights='uniform')",0.1872903226,0.0614909619,0.1872903226,0.0614909619,0.1872903226,0.0614909619,0.1872903226,0.0614909619,0.1620764869,0.0509903402,0.1197138889,0.0386356203,0.1187670788,0.0440219525,0.318842298,0.05903672,0.1872903226,0.0614909619,0.207004228,0.0678659038
"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=3, max_features='auto', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
                       oob_score=False, random_state=None, verbose=0,
                       warm_start=False)",0.3298387097,0.0713911854,0.3298387097,0.0713911854,0.3298387097,0.0713911854,0.3298387097,0.0713911854,0.2402770602,0.0603484239,0.2509347222,0.1021212505,0.1954446021,0.0833229092,0.4046593709,0.0701789775,0.3298387097,0.0713911854,0.2817055807,0.0686209834
"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=3, max_features='auto', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=20, n_jobs=-1,
                       oob_score=False, random_state=None, verbose=0,
                       warm_start=False)",0.3569354839,0.0755521472,0.3569354839,0.0755521472,0.3569354839,0.0755521472,0.3569354839,0.0755521472,0.2403789384,0.0929849479,0.2755609127,0.1047797639,0.2122712014,0.0828559718,0.3802779245,0.0569124439,0.3569354839,0.0755521472,0.2981626991,0.0776453371
"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=3, max_features='auto', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=30, n_jobs=-1,
                       oob_score=False, random_state=None, verbose=0,
                       warm_start=False)",0.3233225806,0.0984116627,0.3233225806,0.0984116627,0.3233225806,0.0984116627,0.3233225806,0.0984116627,0.2399141503,0.088263621,0.2630869709,0.1082597894,0.1957929696,0.083451336,0.36754014,0.1430561405,0.3233225806,0.0984116627,0.2601692322,0.1070949482
"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=3, max_features='auto', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=40, n_jobs=-1,
                       oob_score=False, random_state=None, verbose=0,
                       warm_start=False)",0.346483871,0.0900100815,0.346483871,0.0900100815,0.346483871,0.0900100815,0.346483871,0.0900100815,0.207444552,0.0867959802,0.2671671032,0.0981207248,0.1943351099,0.0697170942,0.323977719,0.118771211,0.346483871,0.0900100815,0.2744147127,0.1030927936
"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=3, max_features='auto', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=-1,
                       oob_score=False, random_state=None, verbose=0,
                       warm_start=False)",0.3551935484,0.066274537,0.3551935484,0.066274537,0.3551935484,0.066274537,0.3551935484,0.066274537,0.2621493271,0.0731064819,0.2812773148,0.0914056841,0.2109369466,0.063691413,0.4084082027,0.085867195,0.3551935484,0.066274537,0.2948631091,0.078848075
"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=3, max_features='auto', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)",0.3423870968,0.0615279265,0.3423870968,0.0615279265,0.3423870968,0.0615279265,0.3423870968,0.0615279265,0.2492625973,0.0628770488,0.2673091931,0.095788886,0.1951108532,0.0644828469,0.403015116,0.0517926394,0.3423870968,0.0615279265,0.2786680265,0.0699651996
"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=4, max_features='auto', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
                       oob_score=False, random_state=None, verbose=0,
                       warm_start=False)",0.3901290323,0.1504448278,0.3901290323,0.1504448278,0.3901290323,0.1504448278,0.3901290323,0.1504448278,0.3563739687,0.1499416716,0.2975282407,0.087415013,0.2592683991,0.0878035421,0.5102820068,0.2653633411,0.3901290323,0.1504448278,0.3573241728,0.1672825248
"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=4, max_features='auto', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=20, n_jobs=-1,
                       oob_score=False, random_state=None, verbose=0,
                       warm_start=False)",0.4387419355,0.0599506734,0.4387419355,0.0599506734,0.4387419355,0.0599506734,0.4387419355,0.0599506734,0.3634425329,0.0728665085,0.3110740741,0.0470399645,0.2628215892,0.047273852,0.5567729335,0.1029225709,0.4387419355,0.0599506734,0.3893909365,0.0888376764
"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=4, max_features='auto', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=30, n_jobs=-1,
                       oob_score=False, random_state=None, verbose=0,
                       warm_start=False)",0.4266774194,0.0697188198,0.4266774194,0.0697188198,0.4266774194,0.0697188198,0.4266774194,0.0697188198,0.3253371037,0.0841415842,0.3008966358,0.0846334013,0.256101957,0.0828270704,0.5158939386,0.0473317549,0.4266774194,0.0697188198,0.386793721,0.0753681911
"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=4, max_features='auto', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=40, n_jobs=-1,
                       oob_score=False, random_state=None, verbose=0,
                       warm_start=False)",0.4245483871,0.0436028811,0.4245483871,0.0436028811,0.4245483871,0.0436028811,0.4245483871,0.0436028811,0.3161456368,0.0649084444,0.2822274074,0.07509851,0.2320212219,0.0610711997,0.5201289667,0.1065673367,0.4245483871,0.0436028811,0.3782288959,0.0329034961
"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=4, max_features='auto', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=-1,
                       oob_score=False, random_state=None, verbose=0,
                       warm_start=False)",0.4513548387,0.0659724819,0.4513548387,0.0659724819,0.4513548387,0.0659724819,0.4513548387,0.0659724819,0.2988931358,0.0524387823,0.3109089418,0.040664707,0.255543378,0.054381749,0.482209025,0.0839588212,0.4513548387,0.0659724819,0.3923739725,0.0867102546
"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=4, max_features='auto', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=-1, oob_score=False, random_state=None, verbose=0,
                       warm_start=False)",0.4370322581,0.0452984783,0.4370322581,0.0452984783,0.4370322581,0.0452984783,0.4370322581,0.0452984783,0.2838254599,0.0758364984,0.2903866667,0.0499235145,0.2380537953,0.0675813733,0.4763836961,0.0918031901,0.4370322581,0.0452984783,0.3745232892,0.0886844407
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=3,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=10, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.902516129,0.0796057925,0.902516129,0.0796057925,0.902516129,0.0796057925,0.902516129,0.0796057925,0.8590096078,0.1214998698,0.8419404762,0.1296389304,0.847686033,0.1259742124,0.9348203848,0.0798352922,0.902516129,0.0796057925,0.9132818389,0.0736569627
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=3,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=20, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8594739093,0.121076284,0.8427738095,0.1290277374,0.8483459872,0.1254492411,0.9354194836,0.0790947218,0.9031612903,0.0790685631,0.9139139569,0.0729949721
